Class	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	Hi-C_contact
0	-0.997451	-0.982087	-0.96355	-0.104489	-0.92262	-0.31651	-0.913591	-0.429939	-0.995886	-0.432359	-0.992495	-0.140975	-0.997077	-0.560218	-0.982781	-0.164866	-0.901761	-0.286239	-0.955616	0.0819318	-0.9547	-0.894232	-0.992627	-0.634162	-0.954758	-0.572319	-0.987194	1	-0.967747
0	-0.997451	-0.982087	-0.809385	-0.104489	-0.935128	-0.31651	-0.891759	-0.429939	-0.916822	-0.432359	-0.981884	-0.140975	-0.925578	-0.560218	-0.729536	-0.164866	-0.668141	-0.286239	-0.93901	0.0819318	-0.934738	-0.894232	-0.840693	-0.634162	-0.721678	-0.572319	-0.95986	1	-0.961228
0	-0.997451	-0.982087	-0.842748	-0.104489	-0.954717	-0.31651	-0.927332	-0.429939	-0.961683	-0.432359	-0.990266	-0.140975	-0.976543	-0.560218	-0.832037	-0.164866	-0.593412	-0.286239	-0.957742	0.0819318	-0.928382	-0.894232	-0.912198	-0.634162	-0.798176	-0.572319	-0.396571	1	-0.961228
0	-0.997451	-0.982087	-0.980234	-0.104489	-0.928239	-0.31651	-0.915395	-0.429939	-0.994887	-0.432359	-0.991118	-0.140975	-0.997045	-0.560218	-0.983653	-0.164866	-0.868122	-0.286239	-0.951378	0.0819318	-0.949255	-0.894232	-0.993901	-0.634162	-0.966342	-0.572319	-0.974957	1	-0.960598
0	-0.997451	-0.982087	-0.984247	-0.104489	-0.944611	-0.31651	-0.911613	-0.429939	-0.995861	-0.432359	-0.993204	-0.140975	-0.997789	-0.560218	-0.976673	-0.164866	-0.931851	-0.286239	-0.952269	0.0819318	-0.971126	-0.894232	-0.995812	-0.634162	-0.977625	-0.572319	-0.994475	1	-0.969728
0	-0.997451	-0.982087	-0.98408	-0.104489	-0.946873	-0.31651	-0.916586	-0.429939	-0.996274	-0.432359	-0.993256	-0.140975	-0.997552	-0.560218	-0.990075	-0.164866	-0.852002	-0.286239	-0.955826	0.0819318	-0.964489	-0.894232	-0.995227	-0.634162	-0.972503	-0.572319	-0.990899	1	-0.969728
0	-0.997451	-0.982087	-0.97877	-0.104489	-0.946818	-0.31651	-0.904376	-0.429939	-0.995901	-0.432359	-0.992743	-0.140975	-0.995646	-0.560218	-0.97722	-0.164866	-0.964537	-0.286239	-0.95538	0.0819318	-0.963541	-0.894232	-0.994517	-0.634162	-0.92724	-0.572319	-0.990688	1	-0.950268
0	-0.997451	-0.982087	-0.976645	-0.104489	-0.944019	-0.31651	-0.939498	-0.429939	-0.993691	-0.432359	-0.993568	-0.140975	-0.996662	-0.560218	-0.970541	-0.164866	-0.91272	-0.286239	-0.954087	0.0819318	-0.963605	-0.894232	-0.990867	-0.634162	-0.959065	-0.572319	-0.97642	1	-0.950268
0	-0.997451	-0.982087	-0.639729	-0.104489	-0.876717	-0.31651	-0.838332	-0.429939	-0.913539	-0.432359	-0.967658	-0.140975	-0.683378	-0.560218	-0.486985	-0.164866	-0.74701	-0.286239	-0.895533	0.0819318	-0.936881	-0.894232	-0.910998	-0.634162	-0.439218	-0.572319	-0.846478	1	-0.925839
0	-0.997451	-0.982087	-0.773912	-0.104489	-0.929555	-0.31651	-0.916739	-0.429939	-0.928545	-0.432359	-0.97628	-0.140975	-0.893454	-0.560218	-0.870862	-0.164866	-0.943761	-0.286239	-0.945508	0.0819318	-0.973318	-0.894232	-0.944187	-0.634162	-0.86991	-0.572319	-0.858243	1	-0.925839
0	-0.997451	-0.982087	-0.936306	-0.104489	-0.686792	-0.31651	-0.915144	-0.429939	-0.938731	-0.432359	-0.787533	-0.140975	-0.894068	-0.560218	-0.707652	-0.164866	-0.592185	-0.286239	-0.934686	0.0819318	-0.897164	-0.894232	-0.941879	-0.634162	-0.956273	-0.572319	-0.989226	1	-0.949132
0	-0.997451	-0.982087	-0.990407	-0.104489	-0.666184	-0.31651	-0.934487	-0.429939	-0.994952	-0.432359	-0.840949	-0.140975	-0.997103	-0.560218	-0.980532	-0.164866	-0.786047	-0.286239	-0.913526	0.0819318	-0.968447	-0.894232	-0.989505	-0.634162	-0.983782	-0.572319	-0.975672	1	-0.935451
0	-0.997451	-0.982087	-0.818069	-0.104489	-0.600991	-0.31651	-0.89004	-0.429939	-0.984747	-0.432359	-0.755144	-0.140975	-0.9931	-0.560218	-0.917971	-0.164866	-0.268883	-0.286239	-0.882574	0.0819318	-0.964618	-0.894232	-0.926933	-0.634162	-0.966162	-0.572319	-0.975932	1	-0.946951
0	-0.997451	-0.982087	-0.95537	-0.104489	-0.746235	-0.31651	-0.924013	-0.429939	-0.993448	-0.432359	-0.821008	-0.140975	-0.996107	-0.560218	-0.972676	-0.164866	-0.702583	-0.286239	-0.890113	0.0819318	-0.972731	-0.894232	-0.983951	-0.634162	-0.974791	-0.572319	-0.987373	1	-0.946951
0	-0.997451	-0.982087	-0.98414	-0.104489	-0.575861	-0.31651	-0.920057	-0.429939	-0.993308	-0.432359	-0.811296	-0.140975	-0.996459	-0.560218	-0.976869	-0.164866	-0.854795	-0.286239	-0.855858	0.0819318	-0.968563	-0.894232	-0.98861	-0.634162	-0.97833	-0.572319	-0.979784	1	-0.93791
0	-0.997451	-0.982087	-0.851641	-0.104489	-0.317069	-0.31651	-0.862588	-0.429939	-0.977294	-0.432359	-0.790391	-0.140975	-0.988447	-0.560218	-0.879102	-0.164866	-0.510198	-0.286239	-0.854631	0.0819318	-0.938644	-0.894232	-0.934604	-0.634162	-0.930034	-0.572319	-0.980515	1	-0.93791
0	-0.997451	-0.982087	-0.922537	-0.104489	-0.438192	-0.31651	-0.895868	-0.429939	-0.988671	-0.432359	-0.731984	-0.140975	-0.994793	-0.560218	-0.953187	-0.164866	-0.689885	-0.286239	-0.813287	0.0819318	-0.966394	-0.894232	-0.980749	-0.634162	-0.965982	-0.572319	-0.946583	1	-0.92011
0	-0.997451	-0.982087	-0.954667	-0.104489	-0.37481	-0.31651	-0.881438	-0.429939	-0.987412	-0.432359	-0.767379	-0.140975	-0.992979	-0.560218	-0.952	-0.164866	-0.566208	-0.286239	-0.751533	0.0819318	-0.957673	-0.894232	-0.971961	-0.634162	-0.953295	-0.572319	-0.950175	1	-0.930389
0	-0.997451	-0.982087	-0.911428	-0.104489	-0.869847	-0.31651	-0.934772	-0.429939	-0.967446	-0.432359	-0.954341	-0.140975	-0.975473	-0.560218	-0.918807	-0.164866	-0.452224	-0.286239	-0.926588	0.0819318	-0.96724	-0.894232	-0.932523	-0.634162	-0.926642	-0.572319	-0.978354	1	-0.937387
