#Class	ID	Enh	Prom	TX	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	HiC_Contact
0	0:chr10:80712806:80713306:chr10:81107219:81107219:PPIF	chr10:80712806:80713306	chr10:81106975:81107475	ENST00000498681.5	16.41	121.82	1866.37	14664.5	366.85	353.5	203.12	149.0	296.14	10210.25	173.36	1880.5	267.52	11989.25	611.52	6270.25	1266.99	1685.0	168.92	200.5	333.51	170.5	605.07	9886.75	669.94	2362.0	788.0	40575.0	4.111629486084
0	0:chr10:80712806:80713306:chr10:81107219:81107219:PPIF	chr10:80712806:80713306	chr10:81106984:81107484	ENST00000225174.7	26.06	121.82	1866.37	14683.85	366.85	356.65	203.12	150.35	296.14	10749.26	173.36	2013.79	267.52	12572.63	611.52	6492.1	1266.99	1635.41	168.92	200.95	333.51	171.4	605.07	10382.47	669.94	2428.06	788.0	40505.0	4.111629486084
0	0:chr10:80712806:80713306:chr10:81107219:81107219:PPIF	chr10:80712806:80713306	chr10:81107006:81107506	ENST00000492149.1	2.03	121.82	1866.37	14691.79	366.85	363.45	203.12	153.05	296.14	12088.26	173.36	2334.81	267.52	14014.57	611.52	7041.42	1266.99	1522.83	168.92	202.41	333.51	173.18	605.07	11604.13	669.94	2600.04	788.0	40052.0	4.111629486084
0	0:chr10:80712806:80713306:chr10:81107219:81107219:PPIF	chr10:80712806:80713306	chr10:81107164:81107664	ENST00000448165.1	73.96	121.82	1866.37	9807.86	366.85	438.33	203.12	165.46	296.14	22069.24	173.36	4837.53	267.52	25881.28	611.52	11660.93	1266.99	1565.18	168.92	229.14	333.51	184.7	605.07	21470.94	669.94	4122.42	788.0	12985.0	4.111629486084
0	0:chr10:80732915:80733704:chr10:81107219:81107219:PPIF	chr10:80732915:80733704	chr10:81106975:81107475	ENST00000498681.5	16.41	121.82	9760.31	14664.5	307.55	353.5	254.44	149.0	5987.02	10210.25	418.46	1880.5	6810.69	11989.25	9605.53	6270.25	4280.0	1685.0	232.12	200.5	480.48	170.5	13073.04	9886.75	4121.38	2362.0	2470.0	40575.0	4.9426121711731
0	0:chr10:80732915:80733704:chr10:81107219:81107219:PPIF	chr10:80732915:80733704	chr10:81106984:81107484	ENST00000225174.7	26.06	121.82	9760.31	14683.85	307.55	356.65	254.44	150.35	5987.02	10749.26	418.46	2013.79	6810.69	12572.63	9605.53	6492.1	4280.0	1635.41	232.12	200.95	480.48	171.4	13073.04	10382.47	4121.38	2428.06	2470.0	40505.0	4.9426121711731
0	0:chr10:80732915:80733704:chr10:81107219:81107219:PPIF	chr10:80732915:80733704	chr10:81107006:81107506	ENST00000492149.1	2.03	121.82	9760.31	14691.79	307.55	363.45	254.44	153.05	5987.02	12088.26	418.46	2334.81	6810.69	14014.57	9605.53	7041.42	4280.0	1522.83	232.12	202.41	480.48	173.18	13073.04	11604.13	4121.38	2600.04	2470.0	40052.0	4.9426121711731
0	0:chr10:80732915:80733704:chr10:81107219:81107219:PPIF	chr10:80732915:80733704	chr10:81107164:81107664	ENST00000448165.1	73.96	121.82	9760.31	9807.86	307.55	438.33	254.44	165.46	5987.02	22069.24	418.46	4837.53	6810.69	25881.28	9605.53	11660.93	4280.0	1565.18	232.12	229.14	480.48	184.7	13073.04	21470.94	4121.38	4122.42	2470.0	12985.0	4.9426121711731
0	0:chr10:80734232:80734732:chr10:81107219:81107219:PPIF	chr10:80734232:80734732	chr10:81106975:81107475	ENST00000498681.5	16.41	121.82	8051.98	14664.5	214.68	353.5	170.82	149.0	2757.97	10210.25	224.84	1880.5	2146.67	11989.25	5965.21	6270.25	5243.78	1685.0	160.83	200.5	527.27	170.5	7205.23	9886.75	2988.6	2362.0	37132.0	40575.0	4.9426121711731
0	0:chr10:80734232:80734732:chr10:81107219:81107219:PPIF	chr10:80734232:80734732	chr10:81106984:81107484	ENST00000225174.7	26.06	121.82	8051.98	14683.85	214.68	356.65	170.82	150.35	2757.97	10749.26	224.84	2013.79	2146.67	12572.63	5965.21	6492.1	5243.78	1635.41	160.83	200.95	527.27	171.4	7205.23	10382.47	2988.6	2428.06	37132.0	40505.0	4.9426121711731
0	0:chr10:80734232:80734732:chr10:81107219:81107219:PPIF	chr10:80734232:80734732	chr10:81107006:81107506	ENST00000492149.1	2.03	121.82	8051.98	14691.79	214.68	363.45	170.82	153.05	2757.97	12088.26	224.84	2334.81	2146.67	14014.57	5965.21	7041.42	5243.78	1522.83	160.83	202.41	527.27	173.18	7205.23	11604.13	2988.6	2600.04	37132.0	40052.0	4.9426121711731
0	0:chr10:80734232:80734732:chr10:81107219:81107219:PPIF	chr10:80734232:80734732	chr10:81107164:81107664	ENST00000448165.1	73.96	121.82	8051.98	9807.86	214.68	438.33	170.82	165.46	2757.97	22069.24	224.84	4837.53	2146.67	25881.28	5965.21	11660.93	5243.78	1565.18	160.83	229.14	527.27	184.7	7205.23	21470.94	2988.6	4122.42	37132.0	12985.0	4.9426121711731
0	0:chr10:80740923:80741574:chr10:81107219:81107219:PPIF	chr10:80740923:80741574	chr10:81106975:81107475	ENST00000498681.5	16.41	121.82	1012.08	14664.5	340.21	353.5	198.88	149.0	368.03	10210.25	205.17	1880.5	270.42	11989.25	580.58	6270.25	1700.83	1685.0	185.05	200.5	373.6	170.5	500.53	9886.75	498.41	2362.0	1541.0	40575.0	5.0229911804199
0	0:chr10:80740923:80741574:chr10:81107219:81107219:PPIF	chr10:80740923:80741574	chr10:81106984:81107484	ENST00000225174.7	26.06	121.82	1012.08	14683.85	340.21	356.65	198.88	150.35	368.03	10749.26	205.17	2013.79	270.42	12572.63	580.58	6492.1	1700.83	1635.41	185.05	200.95	373.6	171.4	500.53	10382.47	498.41	2428.06	1541.0	40505.0	5.0229911804199
0	0:chr10:80740923:80741574:chr10:81107219:81107219:PPIF	chr10:80740923:80741574	chr10:81107006:81107506	ENST00000492149.1	2.03	121.82	1012.08	14691.79	340.21	363.45	198.88	153.05	368.03	12088.26	205.17	2334.81	270.42	14014.57	580.58	7041.42	1700.83	1522.83	185.05	202.41	373.6	173.18	500.53	11604.13	498.41	2600.04	1541.0	40052.0	5.0229911804199
0	0:chr10:80740923:80741574:chr10:81107219:81107219:PPIF	chr10:80740923:80741574	chr10:81107164:81107664	ENST00000448165.1	73.96	121.82	1012.08	9807.86	340.21	438.33	198.88	165.46	368.03	22069.24	205.17	4837.53	270.42	25881.28	580.58	11660.93	1700.83	1565.18	185.05	229.14	373.6	184.7	500.53	21470.94	498.41	4122.42	1541.0	12985.0	5.0229911804199
0	0:chr10:80750877:80751377:chr10:81107219:81107219:PPIF	chr10:80750877:80751377	chr10:81106975:81107475	ENST00000498681.5	16.41	121.82	806.61	14664.5	262.59	353.5	207.77	149.0	297.91	10210.25	156.97	1880.5	202.35	11989.25	828.46	6270.25	878.92	1685.0	181.66	200.5	212.58	170.5	343.7	9886.75	331.33	2362.0	340.0	40575.0	3.8591012954712
0	0:chr10:80750877:80751377:chr10:81107219:81107219:PPIF	chr10:80750877:80751377	chr10:81106984:81107484	ENST00000225174.7	26.06	121.82	806.61	14683.85	262.59	356.65	207.77	150.35	297.91	10749.26	156.97	2013.79	202.35	12572.63	828.46	6492.1	878.92	1635.41	181.66	200.95	212.58	171.4	343.7	10382.47	331.33	2428.06	340.0	40505.0	3.8591012954712
